customer_tweet_id,customer_message,brand_response,clean_customer_message
2341908,For some reason my watch @AppleSupport has decided to stop receiving notifications. Eveything seems to be on and correct ?,"@221762 Thanks for reaching out to us. We are always happy to help. Have you tried restarting the Apple Watch to see if the issue persists? If so, send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT",For some reason my watch has decided to stop receiving notifications. Eveything seems to be on and correct ?
2775948,@AppleSupport I guess so.,"@775661 Updating to the latest version will help with this. If it is being seen in posts from other users, they will need to update their device as well.",I guess so.
305299,"Hey @115858 @AppleSupport, why is battery so crap on iOS 11? Why has this not been fixed as an issue? @116333? #batterylifematters",@188888 We'd be happy to assist with your battery today. Send us a DM to get started. https://t.co/GDrqU22YpT,"Hey , why is battery so crap on iOS 11? Why has this not been fixed as an issue? ? #batterylifematters"
2015763,i’m over @115858 i updated my iphone 6 to ios 11 and now it’s fuckt. no WAY i’m dropping $1600 on an X. thanks @AppleSupport :),@596075 Hey there. Let's look into this together. Please tap here to meet us in a DM and share a few details to get started: https://t.co/GDrqU22YpT,i’m over i updated my iphone 6 to ios 11 and now it’s fuckt. no WAY i’m dropping $1600 on an X. thanks :)
344639,@AppleSupport My receipt is from Apple and it says ordered from iTunes.,@197984 Thanks! Our iTunes Store team can look into this with you. Reach out to them here: https://t.co/SDIe7UiyJN,My receipt is from Apple and it says ordered from iTunes.
1638737,iPHONE X USERS: Anyone having issues with airdrop? I can’t get mine to work at all. #iPhoneX @115858 @AppleSupport,"@501098 We can help! What happens when you try to use AirDrop? Also, which version of iOS are you on? https://t.co/GDrqU22YpT",iPHONE X USERS: Anyone having issues with airdrop? I can’t get mine to work at all. #iPhoneX
2050602,"iOS 11.0.2 running on a 32 GB iPhone 7 Plus, microphone and speaker not working during calls. Battery drains quickly @AppleSupport",@606414 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,"iOS 11.0.2 running on a 32 GB iPhone 7 Plus, microphone and speaker not working during calls. Battery drains quickly"
1933499,@115858 my phone keeps freezing with the new update. Fix it please and thank you.,@221519 Let's see what's going on with your iPhone. Please share with us in DM when this tends to happen to continue. https://t.co/GDrqU22YpT,my phone keeps freezing with the new update. Fix it please and thank you.
934272,@AppleSupport I am experiencing terrible battery life with 11.0.2 on an Iphone 7 plus. @115858 what are you people doing?!?!,@341631 We'd like to look into this with you. DM us and we'll work from there. https://t.co/GDrqU22YpT,I am experiencing terrible battery life with 11.0.2 on an Iphone 7 plus. what are you people doing?!?!
64264,"I absolutely hate this fucking thing. I hate this fucking iPhone. Too often, I can’t even remember a tweet long enough to execute it, what with all the distractions. The phone will fall asleep before I’ve finished reading; before my thought is complete. I could go on. @115858",@130741 We'd like to help you out. What iPhone are you using and its current iOS version? DM us that information and we'll get started. https://t.co/GDrqU22YpT,"I absolutely hate this fucking thing. I hate this fucking iPhone. Too often, I can’t even remember a tweet long enough to execute it, what with all the distractions. The phone will fall asleep before I’ve finished reading; before my thought is complete. I could go on."
1507334,@115858 I’d really love to be able to listen to @118062 new song on repeat but YOU WON’T LET ME DOWNLOAD IT #CallItWhatYouWant,@469840 Hi. We'd like to help. DM us and tell us which country you're located. https://t.co/GDrqU22YpT,I’d really love to be able to listen to new song on repeat but YOU WON’T LET ME DOWNLOAD IT #CallItWhatYouWant
2207636,@AppleSupport I still see boxes &amp; I updated my phone ... sooo,@645435 Thanks for reaching out. May we ask which iOS version you're currently using?,I still see boxes &amp; I updated my phone ... sooo
2616625,@AppleSupport Radio stations i used to open with Safari like https://t.co/cPbJhKf8uM don't work anymore on iOS 11 - 11.2 on iPhone X ... internet radio apps work fine,@739568 We’d like to look into this. Do you experience issues listening to any audio in the Safari app? Any issues listening to radio stations in other browsing apps?,Radio stations i used to open with Safari like don't work anymore on iOS 11 - 11.2 on iPhone X ... internet radio apps work fine
2276912,"@AppleSupport None of this is working. I've updated my IOS. Restarted. Each time I try to re-download the album, the cloud Icon pops back.",@662186 We'll dig a little deeper into this with you. Send us a DM letting us know which country you're in and we'll work from there: https://t.co/GDrqU22YpT,"None of this is working. I've updated my IOS. Restarted. Each time I try to re-download the album, the cloud Icon pops back."
1834110,"Hey @AppleSupport, I’ve got an iPhone 6 and it’s HELL since ios11! Updates don’t change a thing about the awful lag of EVERY app 😠","@174832 We'll be happy to see how we can help with this. To get started, DM us the exact iOS version your iPhone is running. https://t.co/GDrqU22YpT","Hey , I’ve got an iPhone 6 and it’s HELL since ios11! Updates don’t change a thing about the awful lag of EVERY app 😠"
2558681,"@AppleSupport Hello, should I get a new one or is it fixable 🙃? https://t.co/LLgPGqa0ly","@726359 We’d like to see what options are available for you. To start, please share with us in DM which country you are located in. https://t.co/GDrqU22YpT","Hello, should I get a new one or is it fixable 🙃?"
1007655,@AppleSupport Correct. I have upgraded each IOS11 update as they were released and am currently up to date with the latest version.,@358447 We're happy to help out the best we can. Let's meet in DM. https://t.co/GDrqU22YpT,Correct. I have upgraded each IOS11 update as they were released and am currently up to date with the latest version.
1269602,@AppleSupport Please check DM.,@417263 We received your DM. Please check there for our response.,Please check DM.
2378178,@AppleSupport How do I know when my iPhone is DONE restoring? Will it ever pop up a message/notification? Thanks! JZ,@170455 We'd like to help answer your question as best we can. Are you restoring from an iTunes or an iCloud backup? What's your iPhone model and the iOS version installed on it? DM us and we'll work from there. https://t.co/GDrqU22YpT,How do I know when my iPhone is DONE restoring? Will it ever pop up a message/notification? Thanks! JZ
162857,"@AppleSupport Yes the first time, and when i closed it and opened it again it was fixed.",@153628 Have you tried a normal restart of the device? This simple step can resolve issues like this. This article explains how to do a normal restart: https://t.co/bc6P3CZFdY,"Yes the first time, and when i closed it and opened it again it was fixed."
1698587,Right first snap now WhatsApp. @AppleSupport what’s your problem https://t.co/g8zcaZu16b,@515182 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,Right first snap now WhatsApp. what’s your problem
1841072,@applesupport any chance the hardware lighting issue down the left side of my iPad Pro 9.7” is covered under a known issue or something? https://t.co/XbTeqOhAI3,@551741 We're here for you. We'll need to gather some details and see what your options are. DM us and we'll get started. Thanks! https://t.co/GDrqU22YpT,any chance the hardware lighting issue down the left side of my iPad Pro 9.7” is covered under a known issue or something?
1265254,@AppleSupport please tell me how to mute specific messages on my Apple Watch — I’ve got group msg blowing me up all day tho muted on phone,"@190583 Let's look into this together. To get started, let us know which watchOS is installed. Do you receive notifications on the iPhone?",please tell me how to mute specific messages on my Apple Watch — I’ve got group msg blowing me up all day tho muted on phone
866281,@115858 Ok. I found out.,@323692 We are glad that you are all set. Contact us again if you need further assistance. We are here for you.,Ok. I found out.
123095,@AppleSupport iPad is on 11.0.2 and iMac is 10.12.6. Same iCloud account on all devices,"@143491 Let's update your iPad to the latest version of iOS: https://t.co/80YRnjDFDk If the issue persists after updating, send us a DM and we will continue working with you. https://t.co/GDrqU22YpT",iPad is on 11.0.2 and iMac is 10.12.6. Same iCloud account on all devices
2942116,@AppleSupport What’s going on? Without my permission anyone can gain access to my Mac!!! https://t.co/a7yJ0gerzF,@812858 We understand wanting to be secure. Could you Direct Message us so we can take a look? https://t.co/GDrqU22YpT,What’s going on? Without my permission anyone can gain access to my Mac!!!
2008070,Wtf is this new glitch thing.. @AppleSupport can u ppl get something right.,@593787 We've got steps for a temporary workaround here: https://t.co/xU1AGHStV6 Let us know in DM if you have other questions. https://t.co/GDrqU22YpT,Wtf is this new glitch thing.. can u ppl get something right.
87142,@AppleSupport these battery issues are unacceptable! What’s going on ??,@135067 We'd like to help if you're experiencing issues with your battery. Which device is this happening with? Let us know in DM. https://t.co/GDrqU22YpT,these battery issues are unacceptable! What’s going on ??
2321161,@AppleSupport my Apple Music isn’t working 😭😭😭😭😭 what’s going onnnnnnn,@672654 This is certainly not the experience we want you to have. You're in great hands for support. Could you DM us which Apple device you're using? We look forward to your response. https://t.co/GDrqU22YpT,my Apple Music isn’t working 😭😭😭😭😭 what’s going onnnnnnn
