pair_id,customer_message,historical_reply,candidate_type,gold_intent,escalation_label,notes
0,"@AppleSupport It’s been over a month now… at first i thought it was me being trigger happy, but seen it w/ screenshots too. Got a Mac, iPhone, and iPad",@176784 Thanks for verifying that. Our Photos experts would be glad to help out. Please reach out here. https://t.co/IBIY3vMgPj,category_candidate,,,
1,"#ios11update kills my battery! Leave home 100%, 80% in 10mins. 0% by lunch. Set my settings. @115858 support team no help! @AppleSupport",@217048 What type of device are you using? Let us know via DM and we'll do everything we can to help. https://t.co/GDrqU22YpT,category_candidate,,,
2,"@AppleSupport iOS update 11.0.1 is draining my battery life faster than ever, it’s been super slow and unresponsive. Please fix this!!",@560576 Let’s compare your settings to these settings for maximizing battery performance: https://t.co/bivpdfBNJ6 DM us your results: https://t.co/GDrqU22YpT,category_candidate,,,
3,Apple can not make things right!! OMG this calculator on my phone.. @115858 @AppleSupport @156470 #iOS11 #iPhoneX #iPhone8 #AppleNews #Apple https://t.co/4pZDdHCiBR,@600825 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,category_candidate,,,
4,@AppleSupport Thanks!,@278945 It's our pleasure.,ambiguous,,,
5,"@239820 @AppleSupport Yep, me too. Any ideas?",@240352 We'd like to help you out. Which issue are you having?,ambiguous,,,
6,@AppleSupport I did this and it’s still happening,@510522 We would like to offer some guidance with this. Please send us a DM and let us know which version of iOS you have. Thanks. https://t.co/GDrqU22YpT,ambiguous,,,
7,@AppleSupport This new update is KILLING my battery! 😡🙄 I did not have this problem before they update!,@388582 We'd like to work with you on this so we can find a good way to resolve this. When did you update to iOS 11.0.3?,category_candidate,,,
8,"@AppleSupport I can’t even listen to none of my podcasts cuz the app keeps shutting down, what is going on with this new update?","@696604 We'll be happy to work through this to figure out what's happening with the Podcasts app. To start, could you confirm what type of device you're using? Along with that, when you say new update, are you referring to iOS 11.1.1?",category_candidate,,,
9,i’m so annoyed with this dumbasss update can’t type the letter “iii” like what the fuck @AppleSupport,@344661 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,category_candidate,,,
10,Enormous #lags with #calendar app on #ipadair2 with #ios11.0.3 @115858 @AppleSupport 😡😡😡😡,"@207664 We want to get this right for you. Please meet us in DM, and we'll continue there. https://t.co/GDrqU22YpT",category_candidate,,,
11,@AppleSupport https://t.co/42OP5RvDKo,@557872 You've come to the right place for help with your iPhone. Meet us in DM and we can help you explore options. https://t.co/GDrqU22YpT,ambiguous,,,
12,Bluetooth connectivity issue with #iphonex and JBL speaker!!! @AppleSupport,"@729090 Congratulations on your iPhone X! We know how important it is to be able to connect with other devices and we're happy to help. To start, can you tell us which iOS version you're using on your iPhone X? You can find this by going to Settings &gt; General &gt; About.",category_candidate,,,
13,@AppleSupport @115948 how to change payment setting for apple music? Now using @2154 want to change to visa.,@193533 You can use this guide to help change the method of payment for your Apple ID account: https://t.co/Y0YoIRcZa7,category_candidate,,,
14,@115858 support i have purchase iphone 6 4 months ago m facing a problem of microphone.. i have submited 3 times on apple care of my city,@219074 We'd like to help. Let's take a look here: https://t.co/rDJwu6CX24 Let us know the results once complete.,category_candidate,,,
15,"@AppleSupport What’s with disastrous 11.0.3 upgrade on iPhone 6? EVERYthing slower, lags on touch screen AND poor/no network connection?😡😤",@550100 We’re here to address the issues you're experiencing. Let's team up in Direct Message using the link below to continue. https://t.co/GDrqU22YpT,category_candidate,,,
16,@AppleSupport I get this error when i try to put in the purchase date... i have tried this many time but same result. @115858 https://t.co/0kRa3f10Mw,"@347473 Meet up with us in DM. We'd like to see how we can assist you with your warranty coverage, too. https://t.co/GDrqU22YpT",category_candidate,,,
17,Fix this @115858. https://t.co/EgRb5u7xbJ,@464620 We're here to help. Please DM us which iOS software version you are using and we'll go from there. https://t.co/GDrqU22YpT,ambiguous,,,
18,@AppleSupport No this doc is talking about the automatic download. I want apps auto updates. And yes I have toggled the updated on in my settings.,"@297767 Thanks for the info. In order to continue, please send us a Direct Message using the following link: https://t.co/GDrqU22YpT",category_candidate,,,
19,@AppleSupport 11.0.3 (15A432),"@321559 Got it. DM us, and we can look into this deeper. https://t.co/GDrqU22YpT",ambiguous,,,
20,@AppleSupport 6s and I️ recently updated to 11.1,"@448271 Got it. Let's continue in DM using the link below, to work on the issue further. See you there. https://t.co/GDrqU22YpT",ambiguous,,,
21,@AppleSupport fix my damn keyboard,@533263 We'd be happy to help. What's happening with your keyboard? Which device are you using? DM us this info: https://t.co/GDrqU22YpT,category_candidate,,,
22,@AppleSupport ^,@742490 We'd like to look into this with you. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,ambiguous,,,
23,@AppleSupport why does my new iPhone 8 plus charge so slow,@524172 We can help. Try these steps under 'If your device charges slowly or won’t charge:' https://t.co/uqxquyfdn0,category_candidate,,,
24,@AppleSupport so any reason why my mothers iPad mysteriously locked itself out after updating to the new os? 2015 iPad Air. The iPad will not connect to any iTunes so I can't do a hard erase and reset. I Went to Apple Store and they told her to buy a new one. Good job 👌🏻,"@672552 We're happy to see if we can help. When you say the iPad is ""locked"" could you please explain exactly what's happening? When connected to iTunes, are there any error messages received?",category_candidate,,,
25,"@AppleSupport Hello, I bought an iPhone 5 recently and the old owner had his iCloud account logged in now i cant upgrade my ios version",@371042 We've responded to your DM. Please join us there.,category_candidate,,,
26,@115858 @AppleSupport Hey I made a purchase I didn’t mean to make can you help me?,@444561 We'll be glad to assist you. Was this an iTunes Store or App Store purchase?,category_candidate,,,
27,"@AppleSupport I’ve got the latest update. Before updating, it happened with 2 other iPhone users, but now is just with 1 contact specifically.","@530396 Got it, thanks. We'd like to check the current Message settings for you. Send us a DM using the link below. https://t.co/GDrqU22YpT",category_candidate,,,
28,Disappointed with @AppleSupport sent iPhone off for repair as NFC chip is faulty. Comes back. 3rd clean install and still not working 😡,@211777 We’d like to see how we can help. Can you DM us some more details about the issue you're having https://t.co/GDrqU22YpT,category_candidate,,,
29,@AppleSupport 🙄 https://t.co/2gihtcfSq0,@405709 Help is here! Check out this article and let us know what you discover: https://t.co/Ui1yTnOCUz,ambiguous,,,
30,@115858 pls fix the stupid text glitches 🙃,@503595 We're here for you. Can you give us some details on what is happening?,ambiguous,,,
31,Please sort out the App Store!! I need to download the x factor app so I can vote and it’s not working!! @AppleSupport,@361203 We'd love to help you get your vote in. Do you get an error or alert when downloading?,category_candidate,,,
32,@115858 Another update needed to save battery life on everyone’s iPhones please?,@766377 We'd be happy to look into your battery with you. DM us the device and iOS version we're working with and we'll get started. https://t.co/GDrqU22YpT,category_candidate,,,
33,"@AppleSupport So i tweeted about my speakers making popping noises a few days ago. I just found out that my left speaker is out, no noise comes out of it... Will my local ‘Simply Mac’ replace my phone/ fix it or would I have to ship it in to Apple?☹️","@504998 Let's move to DM, and we can take a closer look. Let us know which iPhone you have. https://t.co/GDrqU22YpT",category_candidate,,,
34,"Mail app loses my inbox order and my ""Show most recent message at the top"" setting --among other preferences-- for the nth time! I can't find any pattern :-\ #macOSHighSierra @AppleSupport",@801416 Hey there! Thank you for contacting us for support! Let's look into this together. Could you DM us which Mac you're using? We look forward to speaking with you soon. https://t.co/GDrqU22YpT,category_candidate,,,
35,I've retarded my phone reset the network settings about 40 times and I still can't download apps or update my iOS @115858 https://t.co/3ZprxGcTpT,"@518260 We want to help with your iPhone, Reach out to us in DM. https://t.co/GDrqU22YpT",category_candidate,,,
36,@AppleSupport 7+ 11.0.3,@330422 Let's check the Do Not Disturb features for driving. See this link: https://t.co/BdISLrN866,ambiguous,,,
37,Hey @115858 what gives? Anyone else’s battery drain overnight to like nothing? Mine went from 100% to 46% in like 7 hrs. I get alerts but never had an issue until the update. Fail @AppleSupport big time fail!!,@267006 Battery life is vital. Let's look into your battery. Can you provide us the iOS version on your device? This can be located in Settings &gt; General &gt; About &gt; Version.,category_candidate,,,
38,"@AppleSupport I’m just looking for a list of what’s connected, such as chargers, HDMI and/or USB dongles, external audio devices, etc. so that I know if IOS has recognized it.","@172492 This would be dependent on the device connected. For assistance with your device, you'll want to reach out to the manufacturer.",category_candidate,,,
39,Anyone else tried to do the @115858 #iwatch iOS 4.1 update? Anyone else having an issue trying to do the update? App keeps telling me it can’t verify the install cuz not connected to internet. But I am. @AppleSupport,@618630 We're happy to help. Reach us via DM to continue. https://t.co/GDrqU22YpT,category_candidate,,,
40,@115858 this weak ass battery ain’t built for my wifi cutting on when it wants to! Fix it! @AppleSupport,@127210 Lets' look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,category_candidate,,,
41,@AppleSupport iOS 11.0.1 is also just so buggy! Is a fix coming for apps and screen not to freeze while in use?,@394312 Let's try following this article to make a backup and update to our latest version of iOS: https://t.co/80YRnjDFDk,category_candidate,,,
42,@AppleSupport Thanks,"@392213 You're totally welcome! We understand wanting to know all the details. If you have any other questions, or there's anything else we can help with, we're happy to help anytime!",ambiguous,,,
43,"Smh this a damn shame, @AppleSupport","@684937 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",ambiguous,,,
44,@AppleSupport easy yo! Why since the last update is my battery being drained every second? Its on that perspiration ting!!!!!,@610070 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,category_candidate,,,
45,@AppleSupport I created a brand new apple id.,@692162 Got it. Please reach out with the link we provided.,category_candidate,,,
46,this 8+ battery trash @115858 @AppleSupport,"@473022 We can certainly take a look! To begin, can you tell us more about the behavior you're experiencing?",ambiguous,,,
47,@167832 @AppleSupport Same issue here. It’s been a pain to connect to my home WiFi after the update... any update on this ?,"@189691 Hey, let's work together to get you connected. Please send us a DM and we'll go from there. https://t.co/GDrqU22YpT",category_candidate,,,
48,Dear @115858 @115948 @AppleSupport since the update on my 6s I can’t log into my Apple Music even though it accepts my log in 😡 https://t.co/My50bfjxRh,@596651 We want to help. Are you able to use your Apple ID on other devices without issue? DM us the answer. We'll work with you there. https://t.co/GDrqU22YpT,category_candidate,,,
49,@115858 @AppleSupport ☝️,@744946 We'd like to hear more about what happened. Please DM us a bit more information about this incident and we'll continue there. https://t.co/GDrqU22YpT,ambiguous,,,
50,"@AppleSupport No, every time I swipe on a notification, the screen flickers.","@398585 Thanks. Do you only notice this behavior with notifications? For example, do you see it when opening an app? Send us a DM. https://t.co/GDrqU22YpT",category_candidate,,,
51,@AppleSupport I have an Apple Music subscription but every time I try and stream a song it tells me to “Choose a Plan” Like I don’t have a subscription.,@415477 We’re investigating and will update our System Status page as more info becomes available: https://t.co/Fcu0biZf0L,category_candidate,,,
52,@AppleSupport why is my battery dying now after I downloaded the new update!? New addition to the update...,@615367 We're happy to help. Are you experiencing a decrease in the battery life altogether? Which device are you using? DM the answer. https://t.co/GDrqU22YpT,category_candidate,,,
53,@AppleSupport I have the new iOS 11 for iPhone 7+ and the new WiFi and blutooth controls from the control center are INFURIATING! #applebug,"@554511 This article has information about how they work, and how to turn them off completely: https://t.co/G7BHuQnDS6 DM us here. https://t.co/GDrqU22YpT",category_candidate,,,
54,"@AppleSupport i’ve tried restarting, resetting network settings, removing sim card, EVERYTHING. nothing works. this is ridiculous",@409608 We understand your concern and we want to help you. Are there specific apps that you use that won't load with your data on?,category_candidate,,,
55,Does restoring from iCloud always take forever then ends up not downloading? @115858 @AppleSupport,@485025 This article may be able to help: https://t.co/Lr8zUtexWS DM us if you continue to have issues. https://t.co/GDrqU2kzhr,category_candidate,,,
56,Seit 10 Tagen Probleme mit iCloud und @AppleSupport bekommt es nicht auf die Reihe - zwei Vorgesetzte haben es schon probiert,@200993 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,category_candidate,,,
57,@AppleSupport when is Apple Pay going to be activated for iMessage? I don’t see it under iMessage settings.,@453704 It will be coming this fall. Keep an eye out here for updated information: https://t.co/uHrOd2X7XG,category_candidate,,,
58,"@AppleSupport When I'm actively using my phone (phone call, browsing instagram... etc) is there a setting to stop vibrations for notifications? I still want it to vibrate when the phone is asleep.",@411834 We'd be happy to see what we can find for you to have the iPhone only vibrate when you want it to. Which iPhone and iOS version are you using? You can find the version by going to Settings &gt; General &gt; About &gt; Version.,category_candidate,,,
59,@AppleSupport It is not on iOS 11.0.3 yet,"@409165 Was the previous device on iOS 11.0.3? If so, update and test restoring the backup again. Let us know the results in a DM. https://t.co/GDrqU22YpT",ambiguous,,,
60,@AppleSupport apps like IG &amp; Twitter . no one has sent texts w| the new emojis to know about mssgs .,@511452 Good to know that. Has the issue occurred with any Apple apps or just those two? Have you checked for app updates?,category_candidate,,,
61,@AppleSupport I’ve just got a new iPhone7 and not all of my music is syncing via iTunes. Any ideas? Thanks,@374369 We'd be happy to help. Here's a link that may be useful: https://t.co/048FvsiWf8,category_candidate,,,
62,@AppleSupport why is my iphone 7+ losing 40-50% of the battery while i don’t use it (8-11 hours)?,@583134 We want to make sure your iPhone works the way you expect it to. Let's get paired up in DM to get started. https://t.co/GDrqU22YpT,category_candidate,,,
63,"@AppleSupport I was just telling you that iOS 11 ""kill"" my iPhone 6. Very very very slow and the battery it’s crazy. Before iOS 11 everything was perfect.",@285818 Battery life is important for our devices. Let's look into this together. Can you provide us which version of iOS 11 you're using?,category_candidate,,,
64,@AppleSupport why is Apple Music saying I’m listening on more than 1 device when I’m not!,@339509 We'd like to help. What device are you using Apple Music with?,category_candidate,,,
65,@AppleSupport IOS 11.0.2 causes my iPhone 7 not to auto connect to known WiFi networks! Please solve.,"@609213 We're here to help. Have you restarted? This article may help: https://t.co/sXbhzfS2lM Let us know if it does, via DM. https://t.co/GDrqU22YpT",category_candidate,,,
66,@AppleSupport It happens with WiFi on and off,@768073 Thanks for that info. Let's move this to DM where we're able to dig in more deeply. https://t.co/GDrqU22YpT,ambiguous,,,
67,@AppleSupport 6s,@551501 Thanks for confirming that. Go ahead and DM us your country to continue. https://t.co/GDrqU22YpT,ambiguous,,,
68,"@AppleSupport Hi, I don't understand why it is so v slow to download an app update. Is it iOS 11? Can you help? More detail in attached pic https://t.co/GHReSqZFnV",@125142 Hello. We want to narrow this down. Let's meet in DM to continue. https://t.co/GDrqU22YpT,category_candidate,,,
69,Ayo @115858 FIX MY PHONE!,@589858 What's going on with your iPhone? DM us some details and we'd be more than happy to work with you to get things sorted. https://t.co/GDrqU22YpT,ambiguous,,,
70,yo @115858 wtf is this “i️”,"@472355 We're here to help. Please DM us a few more details, in addition to the device and OS being used. https://t.co/GDrqU22YpT",ambiguous,,,
71,@AppleSupport That did not help what so ever!,@387118 Thanks for giving the steps a shot. Let's look into some more. Please send us a DM so we may better assist you. https://t.co/GDrqU22YpT,ambiguous,,,
72,@AppleSupport I restarted but no luck... 2nd screenshot after restart... https://t.co/AgEgDt6mlM,"@411120 What app were you in when the keyboard came in like this? Also, were you trying to rotate it to landscape?",category_candidate,,,
73,@AppleSupport macbook pro 13in 2016 ran OS update and the touch bar is gone. nothing shows up on keyboards-system preferences. help needed asap,@760766 Thanks for reaching out! We've received your DM message and will respond from there to help with your MacBook Pro's Touch Bar and ensure it's working properly.,category_candidate,,,
74,"@AppleSupport I cant even write a word without the app lagging and crashing. The keyboard keeps lagging as well ,my phone got worse with this new update",@172026 We don't like to hear you're not able to use Messages. What iOS version do you have? See Settings &gt; General &gt; About,category_candidate,,,
75,What is your favorite thing about the latest iOS update? I like the challenge of keeping my battery life above 30%. @115858 #iOS11,"@177324 Battery life is important, and we'd like to team up with you on this. To get started, send us a DM. https://t.co/GDrqU22YpT",category_candidate,,,
76,Update is ruining my phone 🙂@115858,@726363 This isn't what we expect to happen when you update your iPhone. Could you join us in DM with more info on what you're seeing? https://t.co/GDrqU22YpT,ambiguous,,,
77,Really @116333 ? No way to clear all the notifications in iOS11? Just one by one? @AppleSupport @115858 https://t.co/n0tkbHrLIy,@500362 We love to hear your feedback. Please submit it here: https://t.co/eTPVYVFyd8,category_candidate,,,
78,@AppleSupport Thanks y’all.,@559020 You're very welcome. Have a great night!,ambiguous,,,
79,Hey @115858 I don’t think you fixed the glitch.,@719332 We'd like to help. Could you please send us a DM with what issue you're having so we can take a look? https://t.co/GDrqU22YpT,ambiguous,,,
80,@AppleSupport okay yes I did end up getting an updated email with some of my order details so that will do! Can't wait for the 3rd woohoo!😁,@431460 We're glad to hear it. You'll be among the first to enjoy your new iPhone when it arrives!,category_candidate,,,
81,"@115858 @AppleSupport Apps don't work, freezes every second, landscape portrait doesn't respond, i aged before the selfie cam responded, keyboard doesn't respond",@590446 That's not the experience we expect from our latest iOS versions. Send us a DM with which device this occurs on and we'll assist. https://t.co/GDrqU22YpT,category_candidate,,,
82,Bro my phone stopped working @115858,@444548 What? That't not good! What's going on with your iPhone? We want to see how we can help today.,ambiguous,,,
83,@AppleSupport bloody hell battery is getting drained like never before after 11.3 do u have a fix?!! It’s frustrating,@556502 Thank you for contacting us today. We'd be glad to assist you with your battery. Please send us a DM. https://t.co/GDrqU22YpT,category_candidate,,,
84,"@AppleSupport Im running 11.03 No.. its all different apps. But i cant open anymore than 3 without my phone completely stopping, ill click my home button and get no response. Lock my phone - no response.. its just like it doesnt respond at all.. and it never did this on the old ios",@668886 Thanks for those details. Have all your apps been updated via the App Store since the update? Let us know in DM. We'll continue there. https://t.co/GDrqU22YpT,category_candidate,,,
85,"@AppleSupport When i try to input manually a wifi/proxy and i click save, it always says “deactivated”.. https://t.co/uBUzujggLo",@207505 Send us a DM and we can go over some options. https://t.co/GDrqU22YpT,category_candidate,,,
86,@AppleSupport I can’t screenshot it cause it’s there for a second &amp; ive since cleared my iCloud because it’s been so annoying.Its too late I’m already mad,"@808185 If you change your mind, and would like to continue to work with us let us know. We'll be more than happy to help out. Just send us a DM. https://t.co/GDrqU22YpT",category_candidate,,,
87,@applesupport Yup. Everything else is correct.,"@268041 That's good. Since the issue seems to be only with the NikeRunning app, and you've already reinstalled it, we recommend checking with the app developer to see if they have other steps to try, or are aware of this issue.",ambiguous,,,
88,@115858 Cc: @applesupport,@447363 We want to make sure you get the info you need. We'd recommend reaching out to our Online Store team here: https://t.co/8yjRd1Xo0i,ambiguous,,,
89,@AppleSupport I’m on the latest version of 11.0.3,@444435 We've received your DM. Please check there for our reply.,ambiguous,,,
90,@AppleSupport after recent update my volume up button doesn’t work,@432487 We know how important adjusting the volume is. We'll be happy to see how we can help. Which device and iOS version are you on?,category_candidate,,,
91,As someone who has always received great customer service from @115858 today I am left bitterly disappointed by their iTunes store support :(,@479165 We always want your experience with our support to be great. Please DM us more details of this &amp; we'll look into this with you. https://t.co/GDrqU22YpT,category_candidate,,,
92,@AppleSupport Yes I have,@718893 OK great. So next let's take a further look into this issue. Send us a DM to continue. https://t.co/GDrqU22YpT,ambiguous,,,
93,@115858 fix this,@672500 Hi there. We’ve recently released an update which addresses this issue. Don’t forget to create a backup of your device before you update: https://t.co/xXaXeeSRt9,ambiguous,,,
94,#Apple #applewatch #watchos4 #battery since upgrading watch dies in 3 hours can’t use for days software sucks @116333 won’t buy another 😡,@211924 We'd like to assist you with this. Which Apple Watch do you currently have? DM us here: https://t.co/GDrqU22YpT,category_candidate,,,
95,"@AppleSupport my Apple Music stops playing anytime I click an app, whether it be snapchat, WhatsApp, anything. AFTER the update.😡",@141416 Thanks for reaching out. Could you tell us what kind of device are you using and what is the exact iOS version you're running? Tap Settings &gt; General &gt; About and let us know.,category_candidate,,,
96,@AppleSupport Help! iphone has fallen and now the screen is strangely bent. Touchscreen and buttons still working. https://t.co/NuNaFk9alM,@584560 Meet up with us in DM at the link below so we can gather more details and obtain support options for you on this. https://t.co/GDrqU22YpT,category_candidate,,,
97,@118845 my Bluetooth beats won’t charge anymore . Like not even a blinking light. Please help,@813970 Let’s get you pointed in the right direction. Our @159983 team will take it from here.,category_candidate,,,
98,@AppleSupport It’s my fault. In a notes app),@208438 No worries at all! Send us a DM and we'll look into this with you. https://t.co/GDrqU22YpT,category_candidate,,,
